tenor_type,contract_month,option_type,strike_price,unit_premium,open_interest_t0,open_interest_t1,delta_oi,flow_usd_notional,flow_premium_cash
Monthly,MAR 27,PUT,4610.0,370.4290057918188,300,0.0,300.0,138300000.0,11112870.173754564
Monthly,JUN 27,PUT,4050.0,156.19765132827,600,0.0,600.0,243000000.0,9371859.0796962
Monthly,MAR 27,CALL,4700.0,218.79732528684872,1090,730.0,360.0,169200000.0,7876703.710326554
Monthly,OCT 26,CALL,4580.0,93.64217440579773,1009,188.0,821.0,376018000.0,7688022.5187159935
Monthly,MAR 27,CALL,4610.0,252.3330523964496,302,4.0,298.0,137378000.0,7519524.961414198
Monthly,JUN 27,CALL,5400.0,113.89998617962158,600,0.0,600.0,324000000.0,6833999.170777295
Monthly,OCT 26,CALL,4680.0,66.07845448569401,1014,18.0,996.0,466128000.0,6581414.066775124
Monthly,MAR 27,PUT,4130.0,149.86321763702472,390,0.0,390.0,161070000.0,5844665.487843964
Monthly,DEC 26,CALL,4600.0,163.10059816123498,4870,4622.0,248.0,114080000.0,4044894.8343986277
Monthly,MAR 27,CALL,5190.0,93.12793158529746,390,0.0,390.0,202410000.0,3631989.331826601
Monthly,OCT 26,CALL,4600.0,87.5188417589427,6891,6534.0,357.0,164220000.0,3124422.650794254
Monthly,DEC 26,CALL,5000.0,61.68195093244742,7718,7227.0,491.0,245500000.0,3028583.7907831683
Monthly,OCT 26,CALL,4460.0,137.4380704528162,239,27.0,212.0,94552000.0,2913687.093599703
Monthly,JAN 27,PUT,4400.0,232.4906275611354,138,28.0,110.0,48400000.0,2557396.9031724893
Monthly,DEC 26,PUT,4525.0,281.85345885229253,330,240.0,90.0,40725000.0,2536681.129670633
Monthly,DEC 26,CALL,4525.0,191.78672503726898,133,33.0,100.0,45250000.0,1917867.2503726897
Monthly,FEB 27,CALL,5000.0,109.88877895377732,1414,1243.0,171.0,85500000.0,1879098.120109592
Monthly,OCT 26,CALL,4800.0,42.013544381959946,3634,3197.0,437.0,209760000.0,1835991.8894916496
Monthly,SEP 26,CALL,4500.0,71.45779453724754,3057,2813.0,244.0,109800000.0,1743570.1867088398
Monthly,NOV 26,CALL,4750.0,84.49336240693083,974,787.0,187.0,88825000.0,1580025.8770096065
Monthly,OCT 26,CALL,4650.0,73.56647030729528,1802,1589.0,213.0,99045000.0,1566965.8175453893
Monthly,DEC 26,CALL,4480.0,210.699783862294,76,2.0,74.0,33152000.0,1559178.4005809757
Monthly,OCT 26,PUT,4450.0,194.7088856265268,155,86.0,69.0,30705000.0,1343491.310823035
Weekly Thursday Options Week 2,AUG 26,PUT,4400.0,59.46317735144339,241,35.0,206.0,90640000.0,1224941.453439734
Monthly,MAR 27,PUT,3600.0,33.64993709178242,1240,880.0,360.0,129600000.0,1211397.735304167
Weekly Friday Option Week 4,AUG 26,PUT,4475.0,119.48418109156546,100,0.0,100.0,44750000.0,1194841.8109156545
Monthly,OCT 26,PUT,4300.0,120.60800206478075,897,798.0,99.0,42570000.0,1194019.2204413295
Monthly,OCT 26,PUT,4400.0,167.65160211150032,1129,1060.0,69.0,30360000.0,1156796.0545693522
Monthly,SEP 26,PUT,4300.0,84.79152262145067,1685,1549.0,136.0,58480000.0,1153164.707651729
Monthly,DEC 26,PUT,4470.0,251.08077909133817,45,1.0,44.0,19668000.0,1104755.4280018879
Monthly,SEP 26,PUT,4435.0,151.8813303269112,75,10.0,65.0,28827500.0,987228.6471249228
Monthly,SEP 26,PUT,4395.0,129.53584145112927,170,95.0,75.0,32962500.0,971518.8108834695
Monthly,SEP 26,CALL,4700.0,25.223722229432383,2197,1821.0,376.0,176720000.0,948411.9558266576
Monthly,NOV 26,CALL,5000.0,39.20670293510648,1381,1147.0,234.0,117000000.0,917436.8486814916
Monthly,DEC 26,CALL,5500.0,14.440422780345756,13447,12841.0,606.0,333300000.0,875089.6204889528
Monthly,NOV 26,CALL,4475.0,175.22288825825285,75,26.0,49.0,21927500.0,858592.1524654389
Monthly,FEB 27,CALL,4750.0,176.0303538833257,461,413.0,48.0,22800000.0,844945.6986399633
Monthly,OCT 26,CALL,4900.0,28.002183931673812,3200,2907.0,293.0,143570000.0,820463.9891980427
Monthly,OCT 26,PUT,4225.0,91.52961128165498,266,184.0,82.0,34645000.0,750542.8125095709
Weekly Wednesday Options Week 3,AUG 26,PUT,4450.0,97.68384781434133,75,0.0,75.0,33375000.0,732628.85860756
Monthly,SEP 26,PUT,4325.0,95.42263920618598,300,226.0,74.0,32005000.0,706127.5301257762
Monthly,OCT 26,CALL,4635.0,77.55427161856983,112,21.0,91.0,42178500.0,705743.8717289855
Monthly,NOV 26,CALL,4700.0,97.35967177414932,1494,1422.0,72.0,33840000.0,700989.6367738751
Monthly,NOV 26,CALL,4600.0,127.71220503561813,3289,3237.0,52.0,23920000.0,664103.4661852142
Monthly,MAR 27,CALL,5200.0,91.40062060668322,86,16.0,70.0,36400000.0,639804.3442467825
Weekly Thursday Options Week 2,AUG 26,PUT,4335.0,24.582566366086212,465,214.0,251.0,108808500.0,617022.4157887639
