strike_price,option_type,total_open_interest,total_usd_notional,global_oi_share_pct
5500.0,CALL,20385,11211750000.0,4.067725585664685
5000.0,CALL,18603,9301500000.0,3.7121363291694935
5200.0,CALL,17475,9087000000.0,3.4870495270782613
4600.0,CALL,18835,8664100000.0,3.7584307778265553
4500.0,CALL,19072,8582400000.0,3.8057229516701923
4900.0,CALL,12290,6022100000.0,2.452408508600391
4800.0,CALL,11975,5748000000.0,2.3895518218461906
4700.0,CALL,11191,5259770000.0,2.2331085125912917
5190.0,CALL,10040,5210760000.0,2.0034321746418167
4750.0,CALL,10080,4788000000.0,2.011413976134414
4400.0,CALL,9654,4247760000.0,1.9264077902382568
4300.0,CALL,9644,4146920000.0,1.9244123398651076
3900.0,PUT,9082,3541980000.0,1.8122680288941213
4000.0,PUT,8410,3364000000.0,1.6781737638184937
5400.0,CALL,6127,3308580000.0,1.222612443628527
4300.0,PUT,7050,3031500000.0,1.4067925130702
3500.0,PUT,8098,2834300000.0,1.6159157121762382
4450.0,CALL,6274,2791930000.0,1.2519455641138206
4350.0,CALL,6222,2706570000.0,1.2415692221734447
4510.0,CALL,5474,2468774000.0,1.092309534261883
5100.0,CALL,4786,2440860000.0,0.9550225485892165
4200.0,CALL,5729,2406180000.0,1.143193518777188
3600.0,PUT,5911,2127960000.0,1.1795107155685038
4100.0,PUT,5103,2092230000.0,1.018278325418047
5250.0,CALL,3922,2059050000.0,0.782615636349124
4550.0,CALL,4521,2057055000.0,0.9021431137007622
4200.0,PUT,4790,2011800000.0,0.9558207287384762
4650.0,CALL,4277,1988805000.0,0.8534541245959213
5300.0,CALL,3680,1950400000.0,0.7343257373189128
4100.0,CALL,4642,1903220000.0,0.9262880632158679
3950.0,PUT,4759,1879805000.0,0.9496348325817137
4250.0,PUT,4292,1824100000.0,0.8564473001556451
3800.0,PUT,4780,1816400000.0,0.9538252783653272
4250.0,CALL,4139,1759075000.0,0.825916909446462
4400.0,PUT,3868,1701920000.0,0.7718402043341183
3700.0,PUT,4437,1641690000.0,0.8853813305663089
3750.0,PUT,4145,1554375000.0,0.8271141796703516
4950.0,CALL,3064,1516680000.0,0.611405994332921
4050.0,PUT,3672,1487160000.0,0.7327293770203935
3850.0,PUT,3161,1216985000.0,0.6307618629524683
4150.0,PUT,2881,1195615000.0,0.5748892525042901
3400.0,PUT,3461,1176740000.0,0.6906253741469449
4850.0,CALL,2418,1172730000.0,0.4824999002274813
4910.0,CALL,2244,1101804000.0,0.44777906373468496
4150.0,CALL,2598,1078170000.0,0.5184180069441673
