expiration_bucket,strike_price,option_type,total_open_interest,total_usd_notional,total_premium_cash,bucket_total_oi,oi_share_pct
Monthly - NOV 26,3215.0,PUT,1,321500.0,41.652429272160774,53219,0.0018790281666322178
Monthly - NOV 26,3225.0,PUT,8,2580000.0,364.3358946409805,53219,0.015032225333057743
Monthly - NOV 26,3230.0,PUT,13,4199000.0,618.8647999455166,53219,0.02442736616621883
Monthly - NOV 26,3235.0,PUT,1,323500.0,49.75040117782399,53219,0.0018790281666322178
Monthly - NOV 26,3245.0,PUT,20,6490000.0,1085.9949988357157,53219,0.03758056333264436
Monthly - NOV 26,3250.0,CALL,90,29250000.0,10356278.412683144,53219,0.1691125349968996
Monthly - NOV 26,3250.0,PUT,63,20475000.0,3572.6984975402643,53219,0.11837877449782973
Monthly - NOV 26,3255.0,PUT,19,6184500.0,1125.0528322266803,53219,0.03570153516601214
Monthly - NOV 26,3260.0,PUT,1,326000.0,61.814273766081484,53219,0.0018790281666322178
Monthly - NOV 26,3265.0,PUT,2,653000.0,129.03116612777552,53219,0.0037580563332644356
Monthly - NOV 26,3270.0,PUT,8,2616000.0,538.5639892203301,53219,0.015032225333057743
Monthly - NOV 26,3280.0,PUT,30,9840000.0,2197.638511040168,53219,0.05637084499896653
Monthly - NOV 26,3285.0,PUT,3,985500.0,229.1722929363484,53219,0.005637084499896653
Monthly - NOV 26,3290.0,PUT,2,658000.0,159.28881866417655,53219,0.0037580563332644356
Monthly - NOV 26,3295.0,PUT,11,3624500.0,913.2116425086583,53219,0.020669309832954397
Monthly - NOV 26,3300.0,PUT,130,42900000.0,11247.474380289827,53219,0.24427366166218833
Monthly - NOV 26,3310.0,PUT,4,1324000.0,375.6362606474653,53219,0.007516112666528871
Monthly - NOV 26,3315.0,PUT,11,3646500.0,1075.8804119211845,53219,0.020669309832954397
Monthly - NOV 26,3320.0,PUT,28,9296000.0,2851.702955823356,53219,0.0526127886657021
Monthly - NOV 26,3325.0,PUT,3,997500.0,318.0929232816503,53219,0.005637084499896653
Monthly - NOV 26,3330.0,PUT,3,999000.0,331.09489213079684,53219,0.005637084499896653
Monthly - NOV 26,3335.0,PUT,14,4669000.0,1607.9410581263091,53219,0.02630639433285105
Monthly - NOV 26,3345.0,PUT,5,1672500.0,621.5450827102345,53219,0.00939514083316109
Monthly - NOV 26,3350.0,PUT,213,71355000.0,27538.021244563482,53219,0.40023299949266244
Monthly - NOV 26,3355.0,PUT,3,1006500.0,403.30992041289164,53219,0.005637084499896653
Monthly - NOV 26,3360.0,PUT,17,5712000.0,2375.9950115149863,53219,0.0319434788327477
Monthly - NOV 26,3385.0,PUT,3,1015500.0,507.74200079809617,53219,0.005637084499896653
Monthly - NOV 26,3390.0,CALL,1,339000.0,101369.81222182426,53219,0.0018790281666322178
Monthly - NOV 26,3390.0,PUT,8,2712000.0,1406.00134908222,53219,0.015032225333057743
Monthly - NOV 26,3400.0,CALL,3,1020000.0,301189.1947455958,53219,0.005637084499896653
Monthly - NOV 26,3400.0,PUT,124,42160000.0,23486.444285671674,53219,0.232999492662395
Monthly - NOV 26,3405.0,PUT,1,340500.0,196.57228421204493,53219,0.0018790281666322178
Monthly - NOV 26,3410.0,PUT,2,682000.0,407.9409889786575,53219,0.0037580563332644356
Monthly - NOV 26,3420.0,PUT,9,3078000.0,1975.4071446475884,53219,0.01691125349968996
Monthly - NOV 26,3425.0,PUT,3,1027500.0,682.8696710263955,53219,0.005637084499896653
Monthly - NOV 26,3430.0,PUT,16,5488000.0,3776.2340258953827,53219,0.030064450666115485
Monthly - NOV 26,3440.0,PUT,45,15480000.0,11411.8827991301,53219,0.0845562674984498
Monthly - NOV 26,3445.0,CALL,1,344500.0,96027.9759165443,53219,0.0018790281666322178
Monthly - NOV 26,3450.0,PUT,53,18285000.0,14431.470323354491,53219,0.09958849283150754
Monthly - NOV 26,3455.0,PUT,1,345500.0,282.0733898273673,53219,0.0018790281666322178
Monthly - NOV 26,3460.0,PUT,31,10726000.0,9056.770009980446,53219,0.05824987316559875
Monthly - NOV 26,3465.0,PUT,5,1732500.0,1512.7029867910123,53219,0.00939514083316109
Monthly - NOV 26,3470.0,PUT,7,2429000.0,2192.686615774329,53219,0.013153197166425525
Monthly - NOV 26,3475.0,PUT,19,6602500.0,6160.985768476886,53219,0.03570153516601214
Monthly - NOV 26,3480.0,PUT,1,348000.0,335.6126003879325,53219,0.0018790281666322178
Monthly - NOV 26,3485.0,PUT,1,348500.0,347.29924902388376,53219,0.0018790281666322178
Monthly - NOV 26,3495.0,PUT,2,699000.0,743.4268471621863,53219,0.0037580563332644356
Monthly - NOV 26,3500.0,CALL,1,350000.0,90720.74230251528,53219,0.0018790281666322178
Monthly - NOV 26,3500.0,PUT,775,271250000.0,297954.1725687488,53219,1.4562468291399688
Monthly - NOV 26,3505.0,PUT,1,350500.0,397.56912194993674,53219,0.0018790281666322178
Monthly - NOV 26,3510.0,PUT,25,8775000.0,10276.452918920995,53219,0.046975704165805446
Monthly - NOV 26,3515.0,PUT,5,1757500.0,2124.6620834519945,53219,0.00939514083316109
Monthly - NOV 26,3520.0,PUT,6,2112000.0,2635.203446752402,53219,0.011274168999793307
Monthly - NOV 26,3525.0,PUT,17,5992500.0,7715.8114170958825,53219,0.0319434788327477
Monthly - NOV 26,3530.0,PUT,1,353000.0,468.95325933396066,53219,0.0018790281666322178
Monthly - NOV 26,3535.0,PUT,172,60802000.0,83326.34185884583,53219,0.32319284466074144
Monthly - NOV 26,3540.0,PUT,76,26904000.0,38029.4065710617,53219,0.14280614066404856
Monthly - NOV 26,3545.0,PUT,55,19497500.0,28421.621348826637,53219,0.10334654916477198
Monthly - NOV 26,3550.0,PUT,426,151230000.0,227302.60715751705,53219,0.8004659989853249
Monthly - NOV 26,3555.0,PUT,2,711000.0,1101.6972457586435,53219,0.0037580563332644356
Monthly - NOV 26,3560.0,PUT,22,7832000.0,12508.969281262473,53219,0.04133861966590879
Monthly - NOV 26,3575.0,PUT,48,17160000.0,29985.9566037655,53219,0.09019335199834645
Monthly - NOV 26,3585.0,PUT,7,2509500.0,4652.413547913769,53219,0.013153197166425525
Monthly - NOV 26,3595.0,PUT,21,7549500.0,14839.784660027075,53219,0.039459591499276574
Monthly - NOV 26,3600.0,CALL,3,1080000.0,243582.18838972598,53219,0.005637084499896653
Monthly - NOV 26,3600.0,PUT,1461,525960000.0,1064314.5761940316,53219,2.74526015144967
Monthly - NOV 26,3605.0,PUT,3,1081500.0,2252.6027909219183,53219,0.005637084499896653
Monthly - NOV 26,3615.0,PUT,2,723000.0,1594.696408807613,53219,0.0037580563332644356
Monthly - NOV 26,3620.0,PUT,3,1086000.0,2464.3988700996433,53219,0.005637084499896653
Monthly - NOV 26,3625.0,PUT,2,725000.0,1692.3680650784434,53219,0.0037580563332644356
Monthly - NOV 26,3630.0,PUT,10,3630000.0,8715.124081821188,53219,0.01879028166632218
Monthly - NOV 26,3635.0,PUT,9,3271500.0,8077.162420170918,53219,0.01691125349968996
